oem_id,name,hq_country,founded_year,commodities_supplied,dc_market_position,financial_health_score,typical_lead_time_weeks,typical_otif_pct,contract_models,single_source_risk,notes
vertiv,Vertiv,United States,2016,"UPS, switchgear, PDU, CRAC/CRAH, busway, CDU, DCIM",oem-primary,7,16,92.0,"MSA, framework",medium,Spun out of Emerson Network Power; broad critical-power + thermal portfolio.
schneider,Schneider Electric / APC,France,1836,"UPS, switchgear, PDU, busway, CRAC, BMS, EcoStruxure",oem-primary,9,14,93.0,"MSA, framework, consignment-capable",low,Largest critical-power player; EcoStruxure DCIM; APC + MGE + Square D lines.
eaton,Eaton,Ireland/US,1911,"UPS, switchgear, busway, PDU, breakers, transfer switch",oem-primary,9,14,92.0,"MSA, framework",low,Electrical-systems major; large UPS + power-distribution portfolio.
abb,ABB,Switzerland,1988,"MV/LV switchgear, transformers, breakers, drives, motors",oem-primary,9,18,90.0,"MSA, framework",low,"Power & automation; MV switchgear, transformers, breakers."
siemens,Siemens,Germany,1847,"MV/LV switchgear, transformers, breakers, BMS, Desigo",oem-primary,9,20,90.0,"MSA, framework",low,SIVACON/SENTRON/8DJH switchgear; Desigo BMS; large transformers.
caterpillar,Caterpillar,United States,1925,"diesel gensets, ATS, switchgear, fuel systems",oem-primary,8,30,88.0,"MSA, framework",medium,Cat gensets via dealer network; data-center power packages.
cummins,Cummins,United States,1919,"diesel gensets, ATS, alternators, after-treatment",oem-primary,8,28,88.0,"MSA, framework",medium,Cummins/Onan gensets; PowerCommand controls.
kohler,Kohler Power,United States,1873,"diesel/gas gensets, ATS, paralleling switchgear",oem-primary,6,26,87.0,"MSA, PO-only",medium,Kohler/SDMO gensets; common in mid-size DCs.
mtu,MTU / Rolls-Royce Power Systems,Germany,1909,"diesel gensets, large engines",oem-primary,7,34,86.0,"MSA, framework",high,mtu Onsite Energy; large high-end gensets; long lead times.
generac,Generac,United States,1959,"diesel/gas gensets, modular power, ATS",oem-primary,6,20,87.0,"PO-only, framework",medium,Industrial gensets + modular power blocks.
