filename,source_id,source_page,source_name,source_url,search_url,preview_url,author,crop_index,estimated_model,confidence,bbox_x,bbox_y,bbox_width,bbox_height,score,output_width,output_height
freepik_estimated-metro-emu_6852154_01_passenger-tram-train-realistic-mockup-with-side.png,6852154,1,Passenger tram train realistic mockup with side view of three metropolitan trains with various coloring livery illustration,https://www.freepik.com/free-vector/passenger-tram-train-realistic-mockup-with-side-view-three-metropolitan-trains-with-various-coloring-livery-illustration_6852154.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/passenger-tram-train-realistic-mockup-with-side-view-three-metropolitan-trains-with-various-coloring-livery-illustration_1284-28549.jpg,macrovector,1,metro EMU,estimated,6,38,618,127,1355.03,589,128
freepik_estimated-metro-emu_6852154_02_passenger-tram-train-realistic-mockup-with-side.png,6852154,1,Passenger tram train realistic mockup with side view of three metropolitan trains with various coloring livery illustration,https://www.freepik.com/free-vector/passenger-tram-train-realistic-mockup-with-side-view-three-metropolitan-trains-with-various-coloring-livery-illustration_6852154.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/passenger-tram-train-realistic-mockup-with-side-view-three-metropolitan-trains-with-various-coloring-livery-illustration_1284-28549.jpg,macrovector,2,metro EMU,estimated,6,190,618,126,1361.66,589,128
freepik_estimated-metro-emu_6852154_03_passenger-tram-train-realistic-mockup-with-side.png,6852154,1,Passenger tram train realistic mockup with side view of three metropolitan trains with various coloring livery illustration,https://www.freepik.com/free-vector/passenger-tram-train-realistic-mockup-with-side-view-three-metropolitan-trains-with-various-coloring-livery-illustration_6852154.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/passenger-tram-train-realistic-mockup-with-side-view-three-metropolitan-trains-with-various-coloring-livery-illustration_1284-28549.jpg,macrovector,3,metro EMU,estimated,6,341,618,127,1355.03,589,128
freepik_estimated-steam-locomotive_10654732_01_old-modern-trains-antique-steam-railroad-transpo.png,10654732,1,"Old and modern trains, antique steam railroad transport and contemporary subway locomotive, city railway commuter transportation side view isolated on grey background. Cartoon illustration",https://www.freepik.com/free-vector/old-modern-trains-antique-steam-railroad-transport-contemporary-subway-locomotive-city-railway-commuter-transportation-side-view-isolated-grey-background-cartoon-illustration_10654732.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/old-modern-trains-antique-steam-railroad-transport-contemporary-subway-locomotive-city-railway-commuter-transportation-side-view-isolated-grey-background-cartoon-illustration_107791-3829.jpg,upklyak,1,steam locomotive,estimated,33,13,554,129,1137.23,524,125
freepik_estimated-steam-locomotive_10654732_02_old-modern-trains-antique-steam-railroad-transpo.png,10654732,1,"Old and modern trains, antique steam railroad transport and contemporary subway locomotive, city railway commuter transportation side view isolated on grey background. Cartoon illustration",https://www.freepik.com/free-vector/old-modern-trains-antique-steam-railroad-transport-contemporary-subway-locomotive-city-railway-commuter-transportation-side-view-isolated-grey-background-cartoon-illustration_10654732.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/old-modern-trains-antique-steam-railroad-transport-contemporary-subway-locomotive-city-railway-commuter-transportation-side-view-isolated-grey-background-cartoon-illustration_107791-3829.jpg,upklyak,2,steam locomotive,estimated,22,129,573,176,1026.83,544,164
freepik_estimated-steam-locomotive_2872087_01_high-speed-realistic-modern-train-locomotive-rai.png,2872087,1,High speed realistic modern train locomotive on railroad,https://www.freepik.com/free-vector/high-speed-realistic-modern-train-locomotive-railroad_2872087.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/high-speed-realistic-modern-train-locomotive-railroad_1284-7135.jpg,macrovector,1,steam locomotive,estimated,0,152,626,305,935.14,618,272
freepik_estimated-steam-locomotive_2872087_02_high-speed-realistic-modern-train-locomotive-rai.png,2872087,1,High speed realistic modern train locomotive on railroad,https://www.freepik.com/free-vector/high-speed-realistic-modern-train-locomotive-railroad_2872087.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/high-speed-realistic-modern-train-locomotive-railroad_1284-7135.jpg,macrovector,2,steam locomotive,estimated,158,501,310,47,877.82,420,72
freepik_estimated-tram_6852143_01_passenger-tram-train-realistic-set-with-isolated.png,6852143,1,Passenger tram train realistic set with isolated images of public transport railroad cars and electric trams illustration,https://www.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_6852143.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_1284-28538.jpg,macrovector,1,tram / light rail,estimated,0,18,626,100,1602.76,611,119
freepik_estimated-tram_6852143_02_passenger-tram-train-realistic-set-with-isolated.png,6852143,1,Passenger tram train realistic set with isolated images of public transport railroad cars and electric trams illustration,https://www.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_6852143.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_1284-28538.jpg,macrovector,2,tram / light rail,estimated,2,128,409,101,809.88,420,123
freepik_estimated-tram_6852143_03_passenger-tram-train-realistic-set-with-isolated.png,6852143,1,Passenger tram train realistic set with isolated images of public transport railroad cars and electric trams illustration,https://www.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_6852143.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_1284-28538.jpg,macrovector,3,tram / light rail,estimated,0,240,626,94,1648.07,605,111
freepik_estimated-tram_6852143_04_passenger-tram-train-realistic-set-with-isolated.png,6852143,1,Passenger tram train realistic set with isolated images of public transport railroad cars and electric trams illustration,https://www.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_6852143.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_1284-28538.jpg,macrovector,4,tram / light rail,estimated,0,347,626,101,1589.06,614,109
freepik_estimated-tram_6852143_05_passenger-tram-train-realistic-set-with-isolated.png,6852143,1,Passenger tram train realistic set with isolated images of public transport railroad cars and electric trams illustration,https://www.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_6852143.htm,https://www.freepik.com/vectors/train-side-view,https://img.freepik.com/free-vector/passenger-tram-train-realistic-set-with-isolated-images-public-transport-railroad-cars-electric-trams-illustration_1284-28538.jpg,macrovector,5,tram / light rail,estimated,0,460,626,84,1791.18,618,99
