vendor,model,type,arch,capacity_kw,secondary_lpm,dp_bar,approach_c,fluid,filtration_micron,connector_std,bms_protocol,ashrae_class,link_status,verify_with_vendor
Vertiv,Liebert XDU1350,facility,L2L,1368,1200,2.44,4,PG25,50,UQD,Modbus/BACnet/SNMP,W3,VERIFIED,true
Vertiv,CoolChip CDU 2300,facility,L2L,2300,2125,2.40,5,PG25,50,UQD,Modbus/BACnet/SNMP,W45,VERIFIED,true
Vertiv,CoolChip CDU 70,in-rack,L2L,70,,,,PG25,50,UQD,Modbus/SNMP,W32,VENDOR_PORTAL,true
CoolIT,CHx2000,facility,L2L,2000,2125,2.40,5,PG25,50,UQD,Redfish/Modbus,W32,VERIFIED,true
CoolIT,CHx1500,facility,L2L,1500,1600,2.30,5,PG25,50,UQD,Redfish/Modbus,W32,VENDOR_PORTAL,true
CoolIT,CHx80,in-row,L2L,80,,,,PG25,50,UQD,Redfish,W32,VENDOR_PORTAL,true
Boyd,ROL4000 (Deschutes),facility,L2L,4000,3000,2.20,3,PG25,50,UQDB,Redfish,W32,VERIFIED,true
Motivair,MCDU-60,in-row,L2L,600,700,2.00,4,PG25,50,UQD,Modbus/BACnet,W32,VERIFIED,true
Delta,GoCool L2L 1500,facility,L2L,1500,1500,2.30,4,PG25,50,UQD,Modbus,W32,VENDOR_PORTAL,true
Delta,In-Row 2.4MW (800VDC),in-row,L2L,2400,,,,PG25,50,UQD,Modbus,W32,VENDOR_PORTAL,true
nVent,RackChiller CDU,facility,L2L,1000,1100,2.10,4,PG25,50,UQD,Modbus/SNMP,W32,VENDOR_PORTAL,true
Stulz,CyberCool CDU,facility,L2L,1200,1250,2.20,4,PG25,50,UQD,Modbus/BACnet,W32,VENDOR_PORTAL,true
Envicool,XCRow2000,in-row,L2L,2000,,,,PG25,50,UQD,Modbus,W32,VENDOR_PORTAL,true
ZutaCore,Waterless EoR CDU,facility,2P,1000,0,0,0,R1233zd,,UQD,Modbus,W27,VENDOR_PORTAL,true
Lenovo,ThinkSystem RM100,in-rack,L2A,100,,,,PG25,50,UQD,Redfish/XClarity,W32,VENDOR_PORTAL,true
