sod_id,fault_id,severity,occurrence,detection,rpn,notes,source
SOD-1.1,F1.1,9,3,5,135,High severity due to single-feeder dependency; DGA gives early warning,CIGRE TB-642
SOD-1.2,F1.2,8,4,4,128,OLTC accumulates over 100k operations,CIGRE TB-642
SOD-1.3,F1.3,9,2,4,72,Bushing failures rare but catastrophic,CIGRE TB-755
SOD-1.4,F1.4,7,4,6,168,Cooling failures slow to detect on conservator units,manufacturer
SOD-1.5,F1.5,8,4,5,160,Dry-type cyclic environments accelerate,Rex Power Magnetics
SOD-2.1,F2.1,10,2,6,120,Arc-flash highest personnel severity,IEEE 493
SOD-2.2,F2.2,9,3,4,108,Often detected only via periodic timing test,NETA
SOD-2.3,F2.3,8,4,5,160,Slow propagation;PD trend visible,CIGRE
SOD-2.4,F2.4,8,4,4,128,IR catches it early if scanned,NETA MTS
SOD-2.5,F2.5,7,3,5,105,Detection requires injection test,manufacturer
SOD-3.1,F3.1,8,5,4,160,Common cause of UPS failure;life ~7yr,EPRD-2014
SOD-3.2,F3.2,9,3,4,108,Random failure;may flag in BIT,Semikron AN
SOD-3.3,F3.3,10,2,5,100,Only detected by transfer test,Schneider WP-92
SOD-3.4,F3.4,10,4,3,120,Impedance monitoring shrinks D,IEEE 1188
SOD-3.5,F3.5,6,6,3,108,Cabinet temp trend detects,NPRD-2016
SOD-3.6,F3.6,9,2,3,54,Heartbeat watchdog mitigates,EPRD-2014
SOD-3.7,F3.7,9,3,4,108,Vibration trending shrinks D,Active Power
SOD-4.1,F4.1,10,4,2,80,Detected by monthly start test,NFPA 110
SOD-4.2,F4.2,9,3,5,135,Coolant-in-oil hard to detect early,Cummins
SOD-4.3,F4.3,8,4,4,128,Oil analysis gives 1-3 month lead,CAT QSX15
SOD-4.4,F4.4,7,5,4,140,Often surfaces only under load,CAT QSX15
SOD-4.5,F4.5,8,3,4,96,Voltage trend detects,manufacturer
SOD-4.6,F4.6,8,3,4,96,ISO 10816 trending,NPRD-2016
SOD-4.7,F4.7,7,4,3,84,Sensor-rich subsystem,manufacturer
SOD-5.1,F5.1,9,6,3,162,VRLA aging follows Arrhenius,IEEE 1188
SOD-5.2,F5.2,10,2,4,80,Float current trend reveals,IEEE 1188
SOD-5.3,F5.3,7,4,3,84,Visible terminal corrosion,Powershield
SOD-5.4,F5.4,10,2,4,80,Off-gas detection mandatory,UL 9540A
SOD-5.5,F5.5,8,3,3,72,Heartbeat watchdog,EPRD-2014
SOD-5.6,F5.6,6,5,3,90,Per-cell V monitoring,manufacturer
SOD-6.1,F6.1,8,5,4,160,Common rack-level failure,IEEE 493
SOD-6.2,F6.2,9,3,4,108,Hard to detect without temp monitoring,manufacturer
SOD-6.3,F6.3,7,5,4,140,Often invisible until insulation fails,BICSI 002
SOD-6.4,F6.4,9,3,5,135,See F1.1,CIGRE TB-642
SOD-6.5,F6.5,4,4,4,64,Calibration check detects,manufacturer
SOD-7.1,F7.1,7,4,6,168,Slow refrigerant loss hard to detect,EPA 608
SOD-7.2,F7.2,9,3,4,108,Long lead-time repair,Maximus Chillers
SOD-7.3,F7.3,8,3,3,72,Magnetic-bearing diagnostics rich,Trane Agility
SOD-7.4,F7.4,6,6,4,144,Common slow-burn issue,ASHRAE
SOD-7.5,F7.5,6,4,4,96,Superheat trend detects,manufacturer
SOD-7.6,F7.6,9,2,4,72,Heartbeat detects,EPRD-2014
SOD-8.1,F8.1,7,4,4,112,Vibration / MCSA detects,TechTarget
SOD-8.2,F8.2,5,8,2,80,Easily detected via DP,ASHRAE 52.2
SOD-8.3,F8.3,5,6,3,90,Conductivity/current detect,Carel
SOD-8.4,F8.4,5,4,3,60,SA temp deviation,manufacturer
SOD-8.5,F8.5,8,4,4,128,Compressor current detects,Copeland
