failure_id,fault_id,failure_state,description,detected_via,source,source_ref,confidence_tier,effective_date,last_verified_by,license_class
FL-1.1,F1.1,Insulation flashover,Phase-to-ground or turn-to-turn arc; transformer trip,Differential relay;sudden-pressure,CIGRE TB-642,CIGRE TB-642,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-1.2,F1.2,OLTC contact welded / fails to switch,Tap-change mis-operation;voltage regulation loss,OLTC position telemetry,CIGRE TB-642,CIGRE TB-642,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-1.3,F1.3,Bushing explosion / oil leak,Catastrophic loss of containment;oil fire risk,Bushing monitor;visual,CIGRE TB-755,CIGRE TB-755,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-1.4,F1.4,Top-oil overheat trip,Thermal protection trips transformer offline,Top-oil thermometer,CIGRE TB-642,CIGRE TB-642,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-1.5,F1.5,Dry-type winding arc-over,Phase-to-phase or phase-to-ground arc,Ground-fault relay,Rex Power Magnetics,Rex Power Magnetics,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-2.1,F2.1,Arc-flash event,Switchgear blast;significant downtime (avg 261 h IEEE 493),Arc-flash detector,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-2.2,F2.2,Failure to interrupt / refusal,Breaker fails to open under fault;upstream trip,Backup-relay operation,NETA MTS,NETA MTS,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-2.3,F2.3,Cable termination flashover,Arc at MV termination cubicle,Optical/pressure,CIGRE,CIGRE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-2.4,F2.4,Busbar joint meltdown,Thermal runaway at high-resistance joint,IR thermography,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-2.5,F2.5,Mis-operation protection,Mis-trip or no-trip due to instrumentation fault,Periodic relay test,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-3.1,F3.1,Inverter output disturbance / failure,Distorted output;possible drop to bypass,Inverter telemetry,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-3.2,F3.2,DC short / inverter trip,Short-circuit pulse;trip,Desat trip,Semikron AN,Semikron AN,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-3.3,F3.3,UPS drops critical load,Failed transfer leaves load unfed,Output V loss,Schneider WP-92,Schneider WP-92,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-3.4,F3.4,Battery support unavailable,UPS unable to ride through utility loss,Discharge test,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-3.5,F3.5,UPS overtemperature derate,Thermal derate triggers shutdown,Cabinet temp,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
FL-3.6,F3.6,UPS control freeze,Manual restart required,Heartbeat,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
