component_id,asset_family,component_name,sub_assembly_of,typical_mtbf_hours,typical_life_years,source,source_ref,confidence_tier,effective_date,last_verified_by,license_class
C-TRX-001,Transformers,Bushings (HV/LV),Transformer,876000,25,CIGRE TB-642,CIGRE TB-642,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-TRX-002,Transformers,On-load tap changer (OLTC),Transformer,219000,25,CIGRE TB-642,CIGRE TB-642,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-TRX-003,Transformers,Winding (HV/LV),Transformer,4380000,40,CIGRE TB-642,CIGRE TB-642,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-TRX-004,Transformers,Core (laminated),Transformer,17520000,50,CIGRE TB-642,CIGRE TB-642,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-TRX-005,Transformers,Cooling fans,Transformer,40000,8,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-TRX-006,Transformers,Oil pump,Transformer,50000,10,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-TRX-007,Transformers,Dielectric oil,Transformer,,15,IEEE C57.106,IEEE C57.106,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-TRX-008,Transformers,Gaskets/seals,Transformer,,12,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-TRX-009,Transformers,Dry-type cast-coil resin,Transformer,,20,Rex Power Magnetics,Rex Power Magnetics,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SWG-001,Switchgear,LV ACB circuit breaker,Switchgear,3240000,25,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SWG-002,Switchgear,MV vacuum/SF6 breaker,Switchgear,3370000,25,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SWG-003,Switchgear,Busbar joint,Switchgear,14600000,30,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SWG-004,Switchgear,Disconnect/earthing switch,Switchgear,8760000,30,CIGRE,CIGRE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SWG-005,Switchgear,Protection relay (digital),Switchgear,250000,15,IEEE C37.90,IEEE C37.90,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SWG-006,Switchgear,Anti-condensation heater,Switchgear,50000,10,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
C-SWG-007,Switchgear,Current transformer (CT),Switchgear,500000,25,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
