fluid_key,fluid_label,fluid_type,charge_L,makeup_rate_pct_per_yr,density_kg_per_L,price_usd_per_L,gwp100,tfa_molar_yield,annual_loss_L,annual_loss_kg,replacement_cost_usd,co2e_tonnes_per_yr,tfa_kg_per_yr,constants_source
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,0.5,1.4,70,320,0.0,0.5,0.7,35.0,0.224,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,1.0,1.4,70,320,0.0,1.0,1.4,70.0,0.448,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,1.5,1.4,70,320,0.0,1.5,2.1,105.0,0.672,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,2.0,1.4,70,320,0.0,2.0,2.8,140.0,0.896,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,2.5,1.4,70,320,0.0,2.5,3.5,175.0,1.12,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,3.0,1.4,70,320,0.0,3.0,4.2,210.0,1.344,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,3.5,1.4,70,320,0.0,3.5,4.9,245.0,1.568,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,4.0,1.4,70,320,0.0,4.0,5.6,280.0,1.792,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,4.5,1.4,70,320,0.0,4.5,6.3,315.0,2.016,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,5.0,1.4,70,320,0.0,5.0,7.0,350.0,2.24,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,5.5,1.4,70,320,0.0,5.5,7.7,385.0,2.464,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,6.0,1.4,70,320,0.0,6.0,8.4,420.0,2.688,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
novec-7000,3M Novec 7000 (HFE-7000),pfas,100,6.5,1.4,70,320,0.0,6.5,9.1,455.0,2.912,0.0,"representative; 3M HFE-7000 GWP 370-575, 320 used as low-end illustrative"
