instrument,jurisdiction,parameter,threshold_value,unit,status,effective_date,source_ref,verified_source,notes
EPA PFAS National Primary Drinking Water Regulation,US,PFOA / PFOS MCL,4,ppt,final,2024-06-25,EPA [1][12],https://www.federalregister.gov/documents/2024/04/26/2024-07773,4.0 ng/L; MCLG=0; TFA not included in the rule
EPA Clean Air Act Section 608,US,Leak rate trigger - comfort cooling,10,percent/yr,in force,2019,EPA [22],https://www.epa.gov/section608/stationary-refrigeration-leak-repair-requirements,Sealed-leak benchmark used for normalization
EPA Clean Air Act Section 608,US,Leak rate trigger - commercial refrigeration,20,percent/yr,in force,2019,EPA [22],https://www.epa.gov/section608/stationary-refrigeration-leak-repair-requirements,
EPA Clean Air Act Section 608,US,Leak rate trigger - industrial process,30,percent/yr,in force,2019,EPA [22],https://www.epa.gov/section608/stationary-refrigeration-leak-repair-requirements,
EPA AIM Act / Section 608,US,Refrigerant scope threshold,15,lb,in force,2026-01-01,EPA [22],https://www.epa.gov/section608/regulatory-updates-section-608-refrigerant-management-regulations,50->15 lb cut driven by AIM Act HFC framework; classic 608 retains 50 lb for ODS
EU F-Gas Regulation 2024/573,EU,Containment / leak-check / reporting,NA,NA,in force,2024-03-11,EU [20],https://eur-lex.europa.eu/eli/reg/2024/573/oj/eng,Applies to high-GWP charges (PFPE)
EU Drinking Water Directive 2020/2184,EU,PFAS-Total parametric value,0.5,ug/L,monitoring live,2026-01-12,EU [19],https://eur-lex.europa.eu/eli/dir/2020/2184/oj/eng,Captures TFA-loaded groundwater
EU Drinking Water Directive 2020/2184,EU,PFAS-Sum (20 compounds),0.1,ug/L,monitoring live,2026-01-12,EU [19],https://eur-lex.europa.eu/eli/dir/2020/2184/oj/eng,
ECHA RAC harmonised classification,EU,TFA - Reproductive Toxicant,1B,category,RAC opinion adopted,2026-06,ECHA [21],https://www.umweltbundesamt.de/en/press/pressinformation/german-agencies-classify-tfa-as-toxic-substance,H360Df; opinion adopted June 2026 (no longer merely proposed); also ozone hazard
Member-state TFA limit,Italy,TFA in drinking water,10,ug/L,national in force,2026,national,https://www.euroconsumers.org/concerns-about-harmful-tfa-in-drinking-water/,Member-state patchwork
Member-state TFA limit,Netherlands,TFA in drinking water,2.2,ug/L,national indicative,2023,national,https://www.rivm.nl,RIVM indicative value
Member-state TFA limit,Denmark,TFA in drinking water,9,ug/L,national in force,2023,national,https://eng.mst.dk,
Member-state TFA limit,Germany,TFA in drinking water (guidance),60,ug/L,national guidance,2024,national,https://www.umweltbundesamt.de,UBA health-orientation value
EPA Toxics Release Inventory (TRI),US,PFAS reporting threshold (chemical of special concern),100,lb/yr,in force,2020,EPA [7],https://www.epa.gov/toxics-release-inventory-tri-program/addition-certain-pfas-tri-national-defense-authorization-act,PFAS are chemicals of special concern (NDAA 2020) at 100 lb; 25000 lb is the generic non-PFAS default. Applies to manufacturers/processors not DC maintenance vapour
