parameter,min,max,unit,standard,source_ref,basis_tag
secondary_supply_temp,17,45,C,ASHRAE TC9.9 W17-W45,cdu-checklist §01,STANDARD
delta_t,8,12,K,sized with flow to rack load,cdu-checklist §01,STANDARD
flow_per_kw,1.0,1.5,LPM/kW,OCP cold-plate guidance,cdu-checklist §01,STANDARD
flow_per_kw_ocp,1.25,2.0,LPM/kW,OCP cold-plate fluids (1.5 typ @ <=10C rise),OCP spec,STANDARD
differential_pressure,0.5,3.0,bar,cold-plate window,cdu-checklist §01,STANDARD
system_pressure,2,6,bar,expansion control,cdu-checklist §01,STANDARD
approach_temp_atd_l2l,3,5,K,L2L heat exchanger,cdu-checklist §01,STANDARD
dew_point_margin,2,3,K,supply >= room dewpoint + margin,cdu-checklist §01,STANDARD
pipe_velocity,1.5,3.0,m/s,sizing criterion,cdu-checklist §01,STANDARD
npsh_margin,10,20,percent,cavitation prevention,cdu-checklist §01,STANDARD
azole_inhibitor,100,,ppm,corrosion inhibitor reserve,cdu-checklist §02,STANDARD
filtration_integrated,50,,micron,integrated CDU filter,cdu-checklist §01,STANDARD
filtration_coldplate,5,10,micron,cold-plate side-stream,cdu-checklist §03,STANDARD
hydrostatic_test,1.5,,x design pressure,ASME B31.3,cdu-checklist §03,STANDARD
glycol_pg25,20,35,percent vol,PG-25 band (freeze ~-10C at 25%),cdu-checklist §03,STANDARD
tcs_ph,8.0,10.5,pH,secondary loop water chemistry,cdu-checklist §02,STANDARD
tcs_conductivity,,1500,uS/cm,secondary loop,cdu-checklist §02,STANDARD
fws_ph,7.0,9.0,pH,facility loop,cdu-checklist §02,STANDARD
fws_chloride,,50,ppm,facility loop corrosion,cdu-checklist §02,STANDARD
fws_hardness,,200,ppm CaCO3,facility loop scale,cdu-checklist §02,STANDARD
