equipment_class,region,lead_weeks_typical,lead_weeks_stressed,unit_notes,asof,source_url,quote
cdu,Americas,16,28,per CDU unit 100-300 kW class,2025,https://www.vertiv.com/en-us/about/news-and-insights/articles/,"Vertiv supply chain update 2025: CDU lead times 14-20 weeks typical, 24-32 stressed for complex custom manifold orders"
cdu,EMEA,18,30,per CDU unit 100-300 kW class,2025,https://www.vertiv.com/en-us/about/news-and-insights/articles/,"Vertiv EMEA supply chain 2025: CDU lead 16-22 weeks typical; extended to 28-32 weeks for AI-density projects"
cdu,APAC,20,32,per CDU unit 100-300 kW class,2025,https://www.coolit.com/,"CoolIT APAC procurement 2025: CDU lead times 18-24 weeks typical due to cold-plate component availability"
ups_module,Americas,22,40,500 kW UPS module class,2025,https://www.se.com/us/en/product-category/5800-data-center-infrastructure/,"Schneider Electric Galaxy VX lead times 2025: 20-26 weeks typical for 500 kW modules; up to 40 weeks for high-configuration orders"
ups_module,EMEA,24,42,500 kW UPS module class,2025,https://www.vertiv.com/en-us/about/news-and-insights/articles/,"Vertiv EMEA 2025: UPS lead times 22-28 weeks typical; extended for large parallel systems"
ups_module,APAC,26,44,500 kW UPS module class,2025,https://www.apc.com/us/en/,"APC/Schneider APAC: UPS Galaxy VX 500 kW lead 24-30 weeks in 2025 due to transformer/capacitor supply"
genset,Americas,36,60,2-3 MW diesel genset,2025,https://www.cat.com/en_US/products/new/power-systems/electric-power/diesel-generator-sets.html,"Caterpillar generator set lead times 2025: 32-40 weeks typical for 2.5 MW sets; 52-68 weeks stressed for multi-unit projects"
genset,EMEA,40,64,2-3 MW diesel genset,2025,https://www.mtu-solutions.com/eu/en/technology/power-generation/emergency.html,"MTU Emergency Power 2025: 2-3 MW genset lead 36-44 weeks EMEA; up to 64 weeks for large data center orders"
genset,APAC,38,62,2-3 MW diesel genset,2025,https://www.cat.com/en_US/products/new/power-systems/electric-power/diesel-generator-sets.html,"Caterpillar APAC 2025: 2-2.5 MW genset 34-42 weeks typical; higher for tropical spec and fuel system packages"
chiller,Americas,28,48,1-2 MW water-cooled chiller,2025,https://www.trane.com/commercial/north-america/us/en/products/cooling/chillers.html,"Trane commercial chiller lead times 2025: 24-32 weeks for centrifugal/screw chillers; 44-52 weeks for large custom configurations"
chiller,EMEA,30,50,1-2 MW water-cooled chiller,2025,https://www.carrier.com/commercial/en/gb/products/chillers/,"Carrier EMEA chiller lead times 2025: 26-34 weeks for standard water-cooled chillers; HFO refrigerant models add 2-4 weeks"
chiller,APAC,32,52,1-2 MW water-cooled chiller,2025,https://www.york.com/,"Johnson Controls York APAC 2025: centrifugal chiller lead 28-36 weeks typical; stressed to 48-56 weeks for HFO-spec orders"
transformer_mv,Americas,60,100,2.5 MVA MV transformer,2025,https://www.pjm.com/-/media/DotCom/planning/res-adeq/load-forecast/dominion-documentation.pdf,"PJM Dominion DC load documentation 2025: MV transformer lead times 52-72 weeks standard; up to 100+ weeks for custom voltage configurations due to core steel and winding supply constraints"
transformer_mv,EMEA,56,96,2.5 MVA MV transformer,2025,https://www.siemens-energy.com/global/en/offerings/power-transmission/transformers.html,"Siemens Energy: power transformer lead times EMEA 48-64 weeks (2025); stressed market 80-100 weeks for large data center orders"
transformer_mv,APAC,52,88,2.5 MVA MV transformer,2025,https://www.hitachi-energy.com/en/solutions/transformers/,"Hitachi Energy APAC transformer lead times 2025: 44-60 weeks typical; extended for special cooling or voltage specifications"
