database,organization,contents,approx_records,download_format,access_url,raw_downloadable,supports_claim
EPA UCMR 5 Occurrence Data,US EPA,PFAS occurrence in public drinking-water systems nationwide,Millions of sample results,Zipped text / Excel,https://www.epa.gov/dwucmr/occurrence-data-unregulated-contaminant-monitoring-rule,yes,PFAS persistence and prevalence in drinking water
EPA Toxics Release Inventory (TRI),US EPA,Reported chemical releases incl. PFAS by facility,Millions of records,CSV / API,https://www.epa.gov/toxics-release-inventory-tri-program/tri-data-and-tools,yes,Reporting framework that excludes DC maintenance vapour
EPA CompTox Chemicals Dashboard,US EPA,Chemical properties and identifiers (Novec / PFAS / TFA / HFOs),~1.2M chemicals,CSV batch / bulk download,https://comptox.epa.gov/dashboard,yes,Fluid vapor pressure / GWP / identifiers
USGS Water Quality Portal,USGS / EPA / NWQMC,Water-quality results incl. PFAS in ground and surface water,Hundreds of millions of results,CSV / WQX API,https://www.waterqualitydata.us,yes,PFAS in groundwater and surface water
PubChem,NIH / NLM,Per-compound physicochemical data,>100M compounds,REST API / per-page,https://pubchem.ncbi.nlm.nih.gov,yes,Fluid and refrigerant property verification
NIST Chemistry WebBook,US NIST,Thermophysical data incl. vapor pressure,Tens of thousands,Per-compound,https://webbook.nist.gov/chemistry,partial,Vapor pressure / boiling point
NOAA GML HATS Halocarbons,NOAA Global Monitoring Lab,Atmospheric HFC / HFO / halocarbon flask measurements,Long time series,Text / CSV,https://gml.noaa.gov/hats/,yes,Rising atmospheric HFC/HFO concentrations
AGAGE,MIT / NASA / international,Atmospheric trace-gas measurements (HFCs/HFOs),Long time series,Text / NetCDF,https://agage.mit.edu/data,yes,Atmospheric HFC/HFO context for TFA formation
EU EEA Waterbase,European Environment Agency,European water-quality monitoring data,Millions of records,CSV,https://www.eea.europa.eu/en/datahub,yes,PFAS/TFA in European waters
NORMAN Database System (EMPODAT),NORMAN Network,Emerging-substance occurrence incl. TFA and PFAS,Large,Query / export,https://www.norman-network.com/nds/,partial,Site-level TFA and PFAS occurrence
German UBA PFAS/TFA resources,Umweltbundesamt (Germany),TFA in precipitation and surface water; degradation reports,Reports + datasets,PDF / data,https://www.umweltbundesamt.de,partial,Rising TFA in precipitation and HFO degradation yields
California Water Boards GAMA,California State Water Resources Control Board,Groundwater quality incl. PFAS,Millions of results,CSV / map export,https://gamagroundwater.waterboards.ca.gov,yes,State-level PFAS in groundwater
EPA GHGRP,US EPA,Facility-level greenhouse and fluorinated gas data,Large,CSV / API,https://www.epa.gov/ghgreporting/data-sets,yes,Fluorinated-gas release reporting context
