effect_id,fault_id,effect_local,effect_system,effect_business,downtime_estimate_hours,source
E-1.1,F1.1,Transformer differential trip,Loss of MV feed; switch to alternate transformer if N+1,Possible site-wide outage if N transformer,12-168,CIGRE TB-642
E-1.2,F1.2,Tap position locked,Voltage regulation off-spec to LV switchgear,IT equipment may trip on voltage,4-72,IEEE C57.143
E-1.3,F1.3,Oil ingress to building / oil fire,Fire risk;transformer offline,Tier degradation,24-720,CIGRE TB-755
E-2.1,F2.1,Arc-flash blast,Personnel injury;equipment destruction,Major outage + insurance,72-720,IEEE 493
E-2.2,F2.2,Failure-to-clear fault,Upstream backup operates;wider outage,Loss of redundancy zone,4-72,NETA MTS
E-3.1,F3.1,Distorted UPS output,IT equipment may trip,Possible service interruption,0-4,EPRD-2014
E-3.2,F3.2,UPS trips to bypass,No more UPS protection of load,Vulnerability to next outage,0-1,Schneider WP-92
E-3.4,F3.4,No ride-through capability,Utility blip cascades to IT,Outage probability x10,0-2,IEEE 1188
E-3.7,F3.7,Flywheel out of service,Reduced redundancy / no ride-through (depending on topology),Outage risk,2-72,Active Power
E-4.1,F4.1,Genset does not start during utility outage,Site loses backup power,Total facility outage,1-24,NFPA 110
E-4.2,F4.2,Engine seizure / write-off,Long lead-time engine repair,Reduced N+1 capacity,720-2160,Cummins manual
E-4.3,F4.3,Power derate / smoke / oil ingestion,Genset cannot meet rated load,Capacity loss for site,72-720,CAT QSX15
E-5.1,F5.1,Reduced runtime,UPS cannot ride through long outages,IT outage on long utility loss,0,IEEE 1188
E-5.2,F5.2,Hydrogen vent / explosion risk,Battery room evacuation;equipment damage,Major outage + fire,168-720,IEEE 1188
E-5.4,F5.4,Cell venting / fire,Possible fire propagation per UL 9540A,Major facility damage,720+,UL 9540A
E-6.1,F6.1,Branch breaker trip,Loss of feed to single rack,IT services on that rack offline,1-4,IEEE 493
E-6.2,F6.2,Localized busway hot-spot / fire,Localized power outage; possible fire,Facility damage,24-720,manufacturer
E-7.1,F7.1,Capacity loss,Cooling reduced; ASHRAE A1 may be exceeded,Thermal trip risk for IT,4-48,EPA 608
E-7.2,F7.2,Chiller offline,Other chiller carries load if N+1,IT cooling at risk if N,720+,Maximus Chillers
E-7.4,F7.4,kW/ton rises,Energy waste; reduced design margin,Higher OPEX,0,ASHRAE
E-8.1,F8.1,CRAH fan trip,One unit offline; N+1 still cools,Local hot-aisle risk,4-24,TechTarget
E-8.2,F8.2,Reduced airflow,Server-inlet temp rise,IT thermal margin loss,0-4,ASHRAE 52.2
E-9.1,F9.1,Pump leak,Chilled-water loss;pump isolated,Cooling capacity drops,4-24,HI 9.6
E-9.2,F9.2,Pump trip,Standby pump starts; no immediate impact if N+1,Loss of redundancy,4-72,HI 9.6
E-10.1,F10.1,Tower approach rises,Reduced condenser capacity;chiller IPLV worse,Higher PUE; trip risk in heat wave,0-24,CTI
E-10.5,F10.5,Legionella exposure,Public-health incident;regulatory action,Reputational loss; fines,720+,ASHRAE 188
E-11.1,F11.1,Coolant pH/conductivity drift,Long-term corrosion of cold plates,Reduced asset life,0,ASME 020902
E-11.2,F11.2,Flow loss to cold plates,CPU thermal trip in <10s,Server reboot/damage,0-4,Uptime Institute
E-11.3,F11.3,Coolant spill,Electrical short risk;rack damage,IT loss + cleanup,24-168,OCP
E-12.1,F12.1,Loop instability,Process variable oscillation,Chiller hunting; energy waste,0,Emerson
E-13.1,F13.1,PLC outputs to safe,Equipment goes to safe state (e.g. CRAH off),Multiple-asset impact,1-4,IEC 61131
E-14.1,F14.1,Wrong measurement,Wrong setpoint;possible IT-thermal,Energy waste; possible trip,0,IEC 60751
E-15.1,F15.1,VFD trip,Pump/fan stops,Cooling loss if VFD on critical load,1-4,EPower
E-16.1,F16.1,Lost telemetry,Operator blind to subsystem,Decision-quality loss,0-2,Cisco SFP
E-17.1,F17.1,Sprinkler fails to release on fire,No water delivered to fire,Catastrophic facility loss,720+,NFSA
E-17.4,F17.4,Sprinkler impaired (closed valve),Fire watch required;no automatic protection,Insurance exposure,0-24,NFSA
E-18.1,F18.1,Insufficient agent concentration,Fire may not be suppressed,Catastrophic loss,720+,NFPA 2001
E-18.3,F18.3,No agent on discharge,No automatic suppression for 2nd event,Catastrophic loss,720+,Code Ready Safety
E-19.1,F19.1,Engine fails to run on stored fuel,Genset fails after utility outage,Total facility outage,4-72,Bell Performance
E-19.2,F19.2,Engine fails to start,Site loses backup power,Total facility outage,4-72,Guardian Fuel
E-20.1,F20.1,Floor instability,Equipment placement unsafe,Personnel + asset risk,24-720,CISCA
E-20.4,F20.4,Floor collapse in seismic event,Equipment destruction,Catastrophic loss,720+,IBC
