standard,scope,key_value,citation,url
NFPA 2001,Clean agent fire extinguishing systems,Agent quantity W=(V/s)(C/(100-C)); discharge <=10s halocarbon; hold >=10 min,NFPA 2001 (2022),https://www.nfpa.org/codes-and-standards/nfpa-2001-standard-development/2001
NFPA 72,Fire alarm & signaling (detection),Spot smoke spacing ~9.1 m (~84 m2); aspirating very-early-warning,NFPA 72 (2022),https://www.nfpa.org/codes-and-standards/nfpa-72-standard-development/72
NFPA 75,Fire protection of IT equipment,Room rating; suppression; pre-action sprinkler permitted,NFPA 75 (2024),https://www.nfpa.org/codes-and-standards/nfpa-75-standard-development/75
NFPA 76,Fire protection of telecom facilities,Detection + suppression for telecom,NFPA 76 (2024),https://www.nfpa.org/codes-and-standards/nfpa-76-standard-development/76
NFPA 13,Installation of sprinkler systems,Wet vs pre-action; double-interlock for DC,NFPA 13 (2025),https://www.nfpa.org/codes-and-standards/nfpa-13-standard-development/13
NFPA 855,Installation of stationary energy storage,Li-ion ESS siting/spacing; gas detection at 25% LFL; explosion control,NFPA 855 (2023),https://www.nfpa.org/codes-and-standards/nfpa-855-standard-development/855
NFPA 70 (NEC),Electrical / EPO,Art. 645 IT rooms; guarded two-stage EPO,NFPA 70 (2023),https://www.nfpa.org/codes-and-standards/nfpa-70-standard-development/70
UL 9540,Energy storage systems safety,ESS product safety certification,UL 9540,https://www.ul.com/services/ul-9540-energy-storage-system-certification
UL 9540A,Thermal-runaway fire propagation test,Cell/module/unit-level off-gas + propagation test method,UL 9540A:2024,https://www.ul.com/services/ul-9540a-test-method
IEC 62619,Industrial Li secondary cells/batteries safety,Thermal-runaway + safety requirements,IEC 62619:2022,https://webstore.iec.ch/publication/64073
FM Global DS 5-32,Data centers loss prevention,Insurer data-center fire protection datasheet,FM Global DS 5-32,https://www.fmglobal.com/research-and-resources/fm-global-data-sheets
ISO 14520,Gaseous fire-extinguishing systems,International gaseous suppression standard,ISO 14520,https://www.iso.org/standard/76925.html
