fault_id,asset_family,fault_name,affected_component_id,mechanism_id,typical_symptoms,detection_sensors,source
F1.1,Transformers,Winding insulation breakdown,C-TRX-003,M-THM-001,DGA acetylene/ethylene spike; PD activity; neutral current rise,DGA monitor;PD coupling capacitors;top-oil thermometer,CIGRE TB-642
F1.2,Transformers,OLTC mechanical/dielectric failure,C-TRX-002,M-MEC-001,Differing DGA in tap-changer compartment; drive-motor current irregularity,OLTC DGA;drive-motor current signature;vibro-acoustic,CIGRE TB-642
F1.3,Transformers,Bushing failure,C-TRX-001,M-MOI-001,Capacitance change >5%; PF >0.7%; thermography hot-spot,Online bushing monitor (sum-current),CIGRE TB-755
F1.4,Transformers,Cooling-system loss,C-TRX-005,M-WER-001,Top-oil delta-T rise; hot-spot >110C,Fan current;radiator delta-T;ultrasonic anemometer,CIGRE TB-642
F1.5,Transformers,Dry-type resin delamination,C-TRX-009,M-THM-002,Hot-spot on IR; PD activity,IR thermography;TEV/HFCT PD,Rex Power Magnetics
F2.1,Switchgear,Internal arc fault,C-SWG-003,M-ELC-001,Sudden trip;optical/pressure rise;ionised plasma,Arc-flash optical detector;pressure switch,IEEE 493
F2.2,Switchgear,Breaker mechanism failure to operate,C-SWG-001,M-MEC-002,Operating time >5 cycles;missed trip on test,Trip-coil monitor;operating-time analyser,NETA MTS
F2.3,Switchgear,Partial discharge in MV cubicle,C-SWG-003,M-ELC-002,PD pulses;ozone smell;surface tracking,TEV;ultrasonic;HFCT,CIGRE
F2.4,Switchgear,Loose busbar joint,C-SWG-003,M-MEC-003,Hot-spot on IR;joint resistance rise,IR thermography;fibre-optic temp;joint-R test,IEEE 493
F2.5,Switchgear,Auxiliary CT/PT failure,C-SWG-007,M-ELC-003,Wrong protection ratio;ferroresonance,Polarity/ratio/burden test,manufacturer
F3.1,UPS,DC-bus capacitor degradation,C-UPS-003,M-THM-003,Higher DC ripple;cap bulge;inverter whine,Ripple voltage;IR scan;ESR test,EPRD-2014
F3.2,UPS,IGBT module failure,C-UPS-002,M-THM-004,Fault code OV/UV;desat trip,Vce-on monitor;junction temp est,Semikron AN
F3.3,UPS,Static bypass failure to transfer,C-UPS-004,M-ELC-004,Failed transfer test;>4ms transfer,Synchroniser monitor;periodic transfer test,Schneider WP-92
F3.4,UPS,Battery string open/sudden capacity drop,C-UPS-007,M-CHM-001,Voltage anomaly under load;impedance spike,Online impedance;float current,IEEE 1188
F3.5,UPS,Cooling fan failure,C-UPS-006,M-WER-001,Cabinet temp rise;tach loss,Tachometer feedback;cabinet temp,NPRD-2016
F3.6,UPS,Firmware/control board lock-up,C-UPS-005,M-ELC-005,Heartbeat loss;random reset,Heartbeat to BMS;watchdog,EPRD-2014
F3.7,UPS,Flywheel bearing degradation,C-UPS-010,M-WER-002,Bearing temp rise;BPFO/BPFI envelope,Vibration spectrum;bearing temp,Active Power WP-111
F4.1,Generators,Failure to start (FTS),C-GEN-008,M-MEC-004,Cranking fails;low battery V;air-in-fuel,Battery V;crank-time;fuel-rail P,NFPA 110
F4.2,Generators,Cylinder head/gasket failure,C-GEN-002,M-THM-005,Coolant in oil;blow-by rise;misfire,Coolant P;oil-coolant cross-contam test,Cummins manual
F4.3,Generators,Turbocharger bearing failure,C-GEN-004,M-WER-003,Excessive exhaust smoke;boost drop;whine,Turbo speed;EGT differentials,CAT QSX15
F4.4,Generators,Fuel injector clogging,C-GEN-003,M-CON-001,Cyl-to-cyl EGT deviation;rail P drop,EGT;rail P;ICA fuel test,CAT QSX15
F4.5,Generators,AVR/excitation failure,C-GEN-006,M-ELC-006,Voltage regulation out of spec;collapse on load,Field current;output V scope,manufacturer
F4.6,Generators,Alternator bearing failure,C-GEN-005,M-WER-004,Vibration ISO 10816 alert;temp rise,Vibration;bearing temp,NPRD-2016
F4.7,Generators,Coolant system failure,C-GEN-009,M-WER-005,Coolant level/temp anomaly;heater fail,Coolant T/L/conductivity,manufacturer
F5.1,Battery,Capacity fade / dry-out (VRLA),C-BAT-001,M-CHM-002,Capacity <80% at 1h discharge;impedance +25%,Online impedance;float current;V,IEEE 1188
F5.2,Battery,Thermal runaway (VRLA),C-BAT-001,M-THM-006,Cabinet temp rise;float current rise,Cabinet temp;float-current trend,IEEE 1188
F5.3,Battery,Positive-grid corrosion,C-BAT-001,M-COR-001,Terminal corrosion;jar bulge,Visual;impedance,Powershield
F5.4,Battery,Internal short / thermal runaway (Li-ion),C-BAT-002,M-CHM-003,Cell V drop + temp spike;off-gas H2/CO,Cell V/T;off-gas detector,IEC 62619;UL 9540A
F5.5,Battery,BMS communication loss,C-BAT-004,M-ELC-007,Heartbeat loss;CAN errors,CAN watchdog;redundant CAN,EPRD-2014
F5.6,Battery,Cell imbalance / SoC drift,C-BAT-002,M-CHM-004,Cell-to-cell V spread,Per-cell V;balancing current,manufacturer
F6.1,PDU,Branch breaker trip/fail-to-trip,C-PDU-002,M-THM-007,Nuisance trip;hot-spot;harmonic heating,Branch ammeter;thermography,IEEE 493
F6.2,PDU,Busway tap-off plug arcing,C-PDU-005,M-ELC-008,Hot-spot at plug;arc-detection,Busway temp monitoring;IR,manufacturer
F6.3,PDU,Neutral conductor overload,C-PDU-001,M-ELC-009,Neutral RMS > phase * sqrt(2);hot N-bar,Neutral ammeter;IR,BICSI 002
F6.4,PDU,PDU transformer failure,C-PDU-001,M-THM-001,See F1.1,See F1.1,CIGRE TB-642
F6.5,PDU,Current-monitoring board failure,C-PDU-007,M-ELC-010,Reading offset vs clamp meter,Periodic calibration check,manufacturer
F7.1,Chillers,Refrigerant leak (low-side),C-CHL-008,M-COR-002,Approach temp rise;suction superheat high;sight-glass bubbles,Mass-flow inference;IR/ultrasonic leak,EPA 608;ASHRAE Handbook
F7.2,Chillers,Compressor bearing failure (oil-lub),C-CHL-001,M-CON-002,Oil-pressure loss;wear-particle rise;vibration,Oil TAN/DGA;vibration;oil temp,Maximus Chillers
F7.3,Chillers,Magnetic-bearing controller fault,C-CHL-002,M-ELC-011,Position-sensor drift;controller error,Active-bearing current;shaft displacement,Trane Agility
F7.4,Chillers,Tube fouling / scaling,C-CHL-004,M-FOU-001,Approach drift;kW/ton rise;cond P rise,Approach trend;water-treatment ORP/LSI,ASHRAE
F7.5,Chillers,EXV hunting/stuck,C-CHL-005,M-CON-003,Superheat hunting;flatline,Valve-position telemetry;superheat,manufacturer
F7.6,Chillers,Control panel/PLC fault,C-CHL-006,M-ELC-005,Comm fault;sensor reading anomalies,See PLC,EPRD-2014
F8.1,CRAH/CRAC,Fan motor bearing failure,C-CRC-001,M-WER-004,Vibration alert;motor-current signature,Vibration;MCSA;bearing temp,TechTarget
F8.2,CRAH/CRAC,Filter clogging,C-CRC-006,M-FOU-002,Delta-P >0.4 in WG;airflow drop,DP transmitter,ASHRAE 52.2
F8.3,CRAH/CRAC,Humidifier scaling/nozzle,C-CRC-004,M-FOU-003,Electrode current rise;blowdown freq,Fill conductivity;current draw,Carel
F8.4,CRAH/CRAC,Reheat element burnout,C-CRC-003,M-THM-008,Output current 0;supply-air delta-T off,Output current;SA temp,EPRD-2014
F8.5,CRAH/CRAC,DX compressor failure,C-CRC-007,M-MEC-005,Liquid floodback;lubrication loss,Suction P/T;compressor current,Copeland
F8.6,CRAH/CRAC,Sensor drift (RAT/SAT/RH),C-CRC-001,M-DRI-001,See F14.1,Cross-check vs reference,manufacturer
F9.1,Pumps,Mechanical seal failure,C-PMP-001,M-WER-006,Visible leakage;flush-temp rise,Seal-leak detector;flush flow,HI 9.6
F9.2,Pumps,Bearing failure,C-PMP-002,M-WER-007,High BPFO/BPFI;temp rise;audible,ISO 10816 velocity;shock-pulse,HI 9.6
F9.3,Pumps,Cavitation,C-PMP-003,M-CAV-001,Rumbling/gravel noise;pitting;broadband vib,Suction P;HF vibration;acoustic emission,HI 9.6
F9.4,Pumps,Impeller imbalance/erosion,C-PMP-003,M-ERO-001,1x running-speed vib,1x vibration;wear-down,OREDA
F9.5,Pumps,Motor insulation breakdown,C-PMP-004,M-ELC-012,Insulation R fall;earth current,Insulation R;earth-current sensor,NPRD-2016
F9.6,Pumps,Coupling misalignment/wear,C-PMP-005,M-MEC-006,2x running-speed vib;soft foot,2x vibration;laser alignment,HI 9.6
F10.1,CoolingTower,Fill fouling/clogging,C-CTW-005,M-FOU-004,Approach temp rise;draft P abnormal,Approach;draft P;LSI/cycles,CTI
F10.2,CoolingTower,Drift eliminator degradation,C-CTW-006,M-WER-008,Visible plume;drift loss high,Drift loss measurement (PILS),manufacturer
F10.3,CoolingTower,Gearbox failure,C-CTW-003,M-WER-009,Whine;wear particles;vibration,Oil sampling;vibration,CTI STD-111
F10.4,CoolingTower,Fan blade pitch/balance loss,C-CTW-001,M-MEC-007,Tower-floor vibration;blade strike marks,Fan-deck vibration;balancing,manufacturer
F10.5,CoolingTower,Basin scaling/biofilm,C-CTW-008,M-BIO-001,Bio-film visible;Legionella+,ORP;conductivity;ATP;PCR,ASHRAE 188
F10.6,CoolingTower,Makeup-water valve failure,C-CTW-009,M-MEC-008,Basin level drift;float stuck,Basin-level transmitter,manufacturer
F11.1,LiquidCooling,Coolant chemistry drift,C-LQC-005,M-CHM-005,Conductivity >5uS/cm;pH excursion;approach temp creep,Conductivity;pH;TDS;ORP,ASME J.Electron.Packag.140 020902
F11.2,LiquidCooling,CDU pump failure,C-LQC-001,M-WER-007,Flow drop;delta-P rise,Flow meter;delta-P;pump vibration,Vertiv
F11.3,LiquidCooling,Manifold/hose leak,C-LQC-003,M-MEC-009,Underfloor wet;drip-pan alarm,Leak rope;drip-pan;pressure decay,OCP
F11.4,LiquidCooling,Dielectric fluid degradation,C-LQC-005,M-CHM-006,Viscosity rise;dielectric strength fall,Fluid sample analysis,3M
F11.5,LiquidCooling,Filter clogging,C-LQC-007,M-FOU-005,Delta-P across filter rise,Filter delta-P,OCP
F12.1,Valves,Actuator stiction/hysteresis,C-VLV-002,M-MEC-010,Step response laggy;positioner deadband,Positioner diagnostics;step test,Emerson
F12.2,Valves,Seat leakage,C-VLV-007,M-ERO-002,Downstream temp drift;acoustic emission,Acoustic emission;temp delta,ISA-75
F12.3,Valves,Stem packing leakage,C-VLV-006,M-MEC-011,Visible leak;IR hot stem,IR;visual,manufacturer
F12.4,Valves,Positioner calibration drift,C-VLV-004,M-DRI-002,Position vs command offset,Smart positioner self-diagnostic,Emerson
F12.5,Valves,Pneumatic supply loss,C-VLV-002,M-MEC-012,Supply P low;valve fails to safe,Supply-air P switch,manufacturer
F13.1,PLCs,Scan-cycle overrun/watchdog trip,C-PLC-001,M-ELC-013,Scan-time over limit;watchdog flag,Scan-time register;watchdog,IEC 61131
F13.2,PLCs,Module communication loss,C-PLC-005,M-ELC-014,Comm-status bit;retry count high,Comm-status;retry counter,manufacturer
F13.3,PLCs,Firmware corruption/unexpected reset,C-PLC-001,M-ELC-015,CRC fail;heartbeat loss,CRC;heartbeat to SCADA,EPRD-2014
F13.4,PLCs,EEPROM/Flash wear-out,C-PLC-006,M-WER-010,Block error counter rise,Block-level error counter,semiconductor data
F13.5,PLCs,PSU failure (24 VDC),C-PLC-004,M-THM-009,Output V droop;redundancy signal,Output V;redundancy diode,EPRD-2014
F14.1,Sensors,Calibration drift,C-SNS-001,M-DRI-001,Reading offset vs reference,Traceable calibration check,IEC 60751
F14.2,Sensors,Open circuit (RTD/TC),C-SNS-001,M-MEC-013,Upscale or downscale burnout,Transmitter open-loop detect,Rosemount FMEDA
F14.3,Sensors,Moisture ingress/corrosion,C-SNS-003,M-MOI-002,Insulation R low;intermittent,Insulation R;visual,manufacturer
F14.4,Sensors,Stuck reading/flatline,C-SNS-004,M-FOU-006,Variance ~0;diaphragm plugged,SPC low-variance alarm;cross-check,manufacturer
F14.5,Sensors,EMI-induced noise,C-SNS-001,M-ELC-016,Spectral noise on 4-20 mA,Spectral analysis;shielding test,manufacturer
F15.1,VFD,DC-bus cap aging,C-VFD-001,M-THM-003,Ripple V rise;cap bulge,Ripple V;IR;cap meter,EPower
F15.2,VFD,IGBT/heat-sink overtemp,C-VFD-002,M-THM-010,Fault code OH;heat-sink >85-95C,Heat-sink NTC;cabinet delta-T,Eilitetech
F15.3,VFD,DC-bus over/under-voltage,C-VFD-001,M-ELC-017,OV/UV fault code,DC-bus V trend;dynamic brake duty,Yaskawa
F15.4,VFD,Encoder/feedback loss,C-VFD-005,M-ELC-018,Encoder fault code,Encoder signal,manufacturer
F15.5,VFD,Earth fault/output short,C-VFD-002,M-ELC-019,Earth-fault code,Output earth-current;insulation R,manufacturer
F16.1,Network,Link flap / PoE fault,C-NET-001,M-WER-011,Port flap log;PoE current spike,Link-state log;PoE current;SFP DDM,manufacturer
F16.2,Network,Modbus/BACnet timeout,C-NET-002,M-ELC-020,Retry counter rise;timeout,Comm-fail counter,manufacturer
F16.3,Network,SFP/fiber signal degradation,C-NET-003,M-WER-012,RX power low;BER rise,SFP DDM RX power;OTDR,Cisco SFP
F16.4,Network,Switch firmware bug / memory leak,C-NET-001,M-ELC-015,CPU/mem high;crash,SNMP CPU/mem;syslog,manufacturer
F16.5,Network,Redundant PSU failure,C-NET-005,M-THM-003,Redundancy fault flag,Redundancy signal;V monitor,EPRD-2014
F17.1,PreAction,Solenoid release fails to actuate,C-FPA-002,M-MEC-014,Coil supervision open,Coil-supervision current,NFSA
F17.2,PreAction,Supervisory air pressure loss,C-FPA-005,M-MEC-015,Compressor runtime up;supervisory low,Supervisory P switch;compressor runtime,NFPA 25
F17.3,PreAction,Aspirating airflow blockage,C-FPA-003,M-FOU-007,Detector low-flow alarm,Detector airflow self-monitor,Xtralis
F17.4,PreAction,Closed control valve (human error),C-FPA-001,M-HUM-001,Tamper switch alarm,Tamper switch on valve,NFSA
F17.5,PreAction,Detector sensitivity drift,C-FPA-003,M-DRI-003,Self-test calibration off,Detector self-test log,NFPA 72
F18.1,CleanAgent,Cylinder pressure loss (slow leak),C-CLN-001,M-MEC-016,Pressure switch low;weight loss >5%,Low-P switch;periodic weight,NFPA 2001
F18.2,CleanAgent,Nozzle obstruction,C-CLN-003,M-FOU-008,Flow-network analysis fail,Visual;flow-network test,NFPA 2001
F18.3,CleanAgent,Released without refill,C-CLN-001,M-HUM-002,Empty cylinder log,Cylinder weight;discharge log,Code Ready Safety
F18.4,CleanAgent,Detection-release timer mis-config,C-FPA-006,M-HUM-003,Bypass left engaged,Panel diagnostic;bypass supervision,NFPA 72
F18.5,CleanAgent,Room integrity failure,C-CLN-005,M-MEC-017,Door-fan test fail,Door-fan test annual,ISO 14520
F19.1,FuelStorage,Microbial contamination,C-FUL-001,M-BIO-002,Filter clog <100h;sludge;acid byproducts,ASTM D7978;free-water sensor,Bell Performance
F19.2,FuelStorage,Water ingress (condensation/rain),C-FUL-001,M-MOI-003,Water-paste gauge positive,Water-paste gauge;capacitive sensor,Guardian Fuel
F19.3,FuelStorage,Fuel degradation/oxidation,C-FUL-001,M-CHM-007,Darkened fuel;filter blockage;asphaltenes,ASTM D2274;D6371 CFPP,ASTM D975
F19.4,FuelStorage,Level-sensor failure,C-FUL-004,M-FOU-009,Reading stuck;float coated,Redundant sensors;stick gauge,manufacturer
F19.5,FuelStorage,Transfer pump seal/motor failure,C-FUL-003,M-WER-006,See F9.1/F9.5,Vibration;flow;seal-leak,NPRD-2016
F20.1,RaisedFloor,Pedestal corrosion / adhesive failure,C-RAF-002,M-COR-003,Visible corrosion;pull-test fail,Annual visual;pull-test sample,CISCA
F20.2,RaisedFloor,Panel warping / chipping,C-RAF-001,M-WER-013,Deflection >limit;corner chips,Visual;ANSI/CISCA deflection test,CISCA
F20.3,RaisedFloor,ESD performance loss,C-RAF-005,M-WER-014,Surface R out of 1e6-1e9 Ohm,ANSI/ESD STM7.1 meter,ANSI/ESD
F20.4,RaisedFloor,Seismic-bracing loosening,C-RAF-003,M-MEC-018,Loose torque;post-event,Post-event torque check,IBC seismic
F20.5,RaisedFloor,Cable cut-out edging deterioration,C-RAF-006,M-WER-015,Bypass airflow;ceiling hotspot,Underfloor P;IR ceiling,CISCA
