standard,scope,key_value,citation,url
ASHRAE TC9.9,Liquid cooling water classes,W17 / W27 / W32 / W40 / W45 (max facility supply C),ASHRAE TC9.9 Liquid Cooling Guidelines (2021),https://www.ashrae.org/technical-resources
OCP cold-plate fluids,Design flow per kW,1.25-2.0 LPM/kW @ <=10 C rise (1.5 typ),OCP Cooling Environments - water-based transfer fluids Rev 1.0,https://www.opencompute.org/projects/cooling-environments
OCP UQD/UQDB,Quick-disconnect coupling,100 psi working / 300 psi burst / 5000 mating cycles,OCP Universal Quick Disconnect spec,https://www.opencompute.org/projects/cooling-environments
OCP Project Deschutes,Reference DTC deployment,N+1 seal-less pumps / 3 C approach / leak+quality telemetry,OCP Project Deschutes (Google 2 MW),https://www.opencompute.org
DMTF Redfish,CoolingUnit telemetry + controls,DSP2064 v1.1.0 (controls landed Dec 2024),DMTF Redfish CoolingUnit DSP2064,https://www.dmtf.org/standards/redfish
ASME B31.3,Process piping hydrostatic test,1.5 x design pressure; hold >=10 min,ASME B31.3 Process Piping,https://www.asme.org
ISO 4406,Hydraulic cleanliness code,target >4/>6/>14 um (sensitive ~16/14/11),ISO 4406 particle count code,https://www.iso.org
NAS 1638,Hydraulic fluid cleanliness,alternative to ISO 4406 for flushing,NAS 1638,https://www.aia-aerospace.org
ASTM D1193,DI make-up water (Type II),resistivity > 1 MOhm.cm (~< 1 uS/cm),ASTM D1193 Type II,https://www.astm.org
PG-25,Direct-to-chip secondary fluid,25 vol% propylene glycol; freeze ~-10 C,OCP cold-plate fluids / PG supplier,https://www.opencompute.org/projects/cooling-environments
