action_id,fault_id,action_type,action_name,description,interval,source,source_ref,confidence_tier,effective_date,last_verified_by,license_class
A-1.1-C,F1.1,Corrective,De-energize and overhaul transformer,Pull transformer offline; SFRA + Doble PF; rewind or replace as needed,On-detection,IEEE C57.143,IEEE C57.143,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.1-P1,F1.1,Preventive,Annual DGA sampling,Sample insulating oil per IEEE C57.104 for fault gases,12 months,IEEE C57.104,IEEE C57.104,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.1-P2,F1.1,Preventive,5-year Doble PF test,Doble power-factor and tan-delta at design-voltage stress,5 yr,IEEE C57.12.90,IEEE C57.12.90,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.1-P3,F1.1,Preventive,Oil reclamation,Polishing once acidity >0.15 mg KOH/g,On-condition,IEEE C57.106,IEEE C57.106,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.2-C,F1.2,Corrective,OLTC overhaul,Replace diverter contacts; refurbish drive mechanism,On-detection,IEEE C57.143,IEEE C57.143,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.2-P,F1.2,Preventive,OLTC operations-counter overhaul,Major overhaul at 50000 ops or 7 yr,7 yr / 50k ops,IEEE C57.143,IEEE C57.143,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.3-C,F1.3,Corrective,Bushing replacement,Replace bushing with matched-impedance unit,On-detection,CIGRE TB-755,CIGRE TB-755,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.3-P,F1.3,Preventive,Online bushing monitor,Sum-current capacitance trend; calibrate annually,Continuous,CIGRE TB-755,CIGRE TB-755,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.4-C,F1.4,Corrective,Replace cooling fan/pump,Restore cooling group capacity,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.4-P,F1.4,Preventive,Cooling-group functional test,Verify fan/pump start;clean radiators,6 months,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-1.5-C,F1.5,Corrective,Dry-type winding cure or replace,Vacuum dry; replace if PD persists,On-detection,Rex Power Magnetics,Rex Power Magnetics,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.1-C,F2.1,Corrective,Arc-flash recovery & NETA recommissioning,Replace damaged busbar/insulator; full NETA MTS test,On-event,NETA MTS 7,NETA MTS 7,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.1-P1,F2.1,Preventive,IR thermography survey,Quarterly IR scan of all bolted joints,3 months,NETA MTS,NETA MTS,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.1-P2,F2.1,Preventive,PD survey + tightness check,Annual TEV+ultrasonic PD;5-yearly torque,1 yr / 5 yr,NETA MTS,NETA MTS,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.1-P3,F2.1,Preventive,Arc-flash study refresh,Refresh per NEC 110.16,5 yr,NEC,NEC,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.2-C,F2.2,Corrective,Breaker overhaul,Replace mechanism springs/latches;re-lubricate,On-detection,NETA MTS 100.5,NETA MTS 100.5,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.2-P,F2.2,Preventive,Operating-time test,Use Doble TDR; measure open/close timing,3-5 yr,NETA MTS,NETA MTS,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.3-C,F2.3,Corrective,Clean/decontaminate cubicle,Insulation cleaning;moisture mitigation,On-detection,CIGRE,CIGRE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.3-P,F2.3,Preventive,PD online monitoring,TEV/HFCT continuous monitor,Continuous,CIGRE,CIGRE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.4-C,F2.4,Corrective,Re-torque joint,Re-torque to design value;replace damaged hardware,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.4-P,F2.4,Preventive,Joint-resistance test,DLRO micro-ohmmeter test,3 yr,NETA MTS,NETA MTS,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.5-C,F2.5,Corrective,Replace CT/PT,Replace with matched ratio/class,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-2.5-P,F2.5,Preventive,Ratio/burden/polarity test,Standard secondary injection test,5 yr,NETA MTS,NETA MTS,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.1-C,F3.1,Corrective,Replace capacitor bank,Replace electrolytic caps;commission test,On-detection,Schneider WP-92,Schneider WP-92,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.1-P,F3.1,Preventive,Scheduled cap replacement,Replace UPS DC-bus caps at 5-7 yr,5-7 yr,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.2-C,F3.2,Corrective,Replace IGBT module,Per OEM repair kit;recalibrate,On-detection,Semikron AN,Semikron AN,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.3-C,F3.3,Corrective,Replace bypass SCR/IGBT and controls,Per OEM kit,On-detection,Schneider WP-92,Schneider WP-92,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.3-P,F3.3,Preventive,Static-bypass transfer test,Verify <4 ms transfer monthly,1 month,Schneider WP-92,Schneider WP-92,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.4-C,F3.4,Corrective,Replace battery string,Replace failed string per IEEE 1188,On-detection,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.4-P,F3.4,Preventive,Quarterly impedance test,Online impedance per IEEE 1188,3 months,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.5-C,F3.5,Corrective,Replace cooling fan,Replace fan + filter,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.5-P,F3.5,Preventive,Cabinet-fan inspection,Tach + temp inspection,6 months,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.6-C,F3.6,Corrective,Firmware reload + warm reset,OEM-guided firmware recovery,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.7-C,F3.7,Corrective,Flywheel bearing replacement,3-4 yr (Active Power) / 10 yr (Piller),3-10 yr,powertechniques,powertechniques,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-3.7-P,F3.7,Preventive,Flywheel vibration trending,Track BPFO/BPFI bands,Continuous,Active Power WP-111,Active Power WP-111,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.1-C,F4.1,Corrective,Diagnose & repair start system,Replace battery / starter / fuel system as needed,On-detection,NFPA 110,NFPA 110,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.1-P1,F4.1,Preventive,Monthly no-load start test,30-min minimum per NFPA 110 8.4,1 month,NFPA 110,NFPA 110,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.1-P2,F4.1,Preventive,Annual load-bank test,4-hr 30%/50%/75%/100% load bank,12 months,NFPA 110 8.4,NFPA 110 8.4,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.2-C,F4.2,Corrective,Head/gasket overhaul,Replace head gasket;machine head if warped,On-detection,Cummins manual,Cummins manual,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.3-C,F4.3,Corrective,Turbocharger overhaul/replacement,Replace bearings/CHRA,On-detection,CAT QSX15,CAT QSX15,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.3-P,F4.3,Preventive,Oil sample analysis,Spectro + wear-particle quarterly,3 months,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.4-C,F4.4,Corrective,Replace injectors + fuel cleanup,Replace injector set;clean fuel system,On-detection,CAT QSX15,CAT QSX15,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.4-P,F4.4,Preventive,Annual fuel polishing,Polish stored diesel;biocide treatment,12 months,ASTM D6217,ASTM D6217,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.5-C,F4.5,Corrective,Replace AVR module,Replace AVR;commissioning test,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.6-C,F4.6,Corrective,Replace alternator bearings,Replace + align,On-detection,NPRD-2016,NPRD-2016,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.6-P,F4.6,Preventive,Alternator vibration trending,ISO 10816 monitoring,3 months,ISO 10816,ISO 10816,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.7-C,F4.7,Corrective,Service coolant system,Flush;replace heater;pump seal,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-4.7-P,F4.7,Preventive,Coolant chemistry analysis,Annual freeze point + inhibitor,12 months,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.1-C,F5.1,Corrective,Replace VRLA string,Replace string;recycle per local rules,On-detection,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.1-P,F5.1,Preventive,Capacity discharge test,2-yr capacity test per IEEE 1188 7,2 yr,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.2-C,F5.2,Corrective,Isolate cabinet & cool,Drop float;ventilate;monitor,On-detection,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.2-P,F5.2,Preventive,Float current + cabinet temp monitor,Continuous online,Continuous,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.4-C,F5.4,Corrective,Isolate pack + cool,Activate suppression;evacuate as needed,On-detection,NFPA 855,NFPA 855,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.4-P,F5.4,Preventive,Off-gas detection (H2/CO),Per UL 9540A guidance,Continuous,UL 9540A,UL 9540A,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.5-C,F5.5,Corrective,Replace BMS controller,Replace + reflash,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.5-P,F5.5,Preventive,Heartbeat watchdog,Redundant CAN; periodic comm test,Continuous,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-5.6-C,F5.6,Corrective,Rebalance / replace cell,Active balancing or cell swap,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-6.1-C,F6.1,Corrective,Replace breaker,MCCB swap;commissioning test,On-detection,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-6.1-P,F6.1,Preventive,Branch current trending + IR,Continuous branch current + quarterly IR,3 months,NETA MTS,NETA MTS,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-6.2-C,F6.2,Corrective,Replace tap-off plug,Replace plug + busway section if damaged,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-6.2-P,F6.2,Preventive,Busway temp continuous monitor,Fiber-optic distributed sensing,Continuous,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-6.3-C,F6.3,Corrective,Upsize neutral,Replace neutral conductor to 200% rating,On-detection,BICSI 002,BICSI 002,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-6.3-P,F6.3,Preventive,Neutral current monitoring,Continuous neutral RMS measurement,Continuous,BICSI 002,BICSI 002,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-7.1-C,F7.1,Corrective,Locate-and-repair refrigerant leak,EPA 608 certified tech;evacuate;recharge,On-detection,EPA 608,EPA 608,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
A-7.1-P,F7.1,Preventive,Annual leak-tightness audit,Per EPA 608;valve-stem packing torque,12 months,EPA 608,EPA 608,medium,2026-05-25,doc-propagation-2026-05-25,internal-research
A-7.2-C,F7.2,Corrective,Compressor overhaul or replace,Long lead-time repair;refurbish bearings,On-detection,Maximus Chillers,Maximus Chillers,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-7.2-P,F7.2,Preventive,Oil sampling (TAN + DGA),Quarterly oil sample,3 months,ASHRAE,ASHRAE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-7.3-C,F7.3,Corrective,Replace magnetic-bearing controller,Per OEM,On-detection,Trane Agility,Trane Agility,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-7.4-C,F7.4,Corrective,Tube cleaning + eddy-current test,Mechanical brush + chemical clean,On-detection,ASHRAE,ASHRAE,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-7.4-P,F7.4,Preventive,Water-treatment ORP/LSI monitoring,Continuous chemistry control,Continuous,ASHRAE 188,ASHRAE 188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-7.5-C,F7.5,Corrective,Replace/clean EXV,Stepper test + clean orifice,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.1-C,F8.1,Corrective,Replace fan motor,Replace bearings or full motor,On-detection,TechTarget,TechTarget,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.1-P,F8.1,Preventive,Vibration + MCSA,Quarterly motor health,3 months,ISO 10816,ISO 10816,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.2-C,F8.2,Corrective,Replace filter media,Replace MERV 13 set,On-detection,ASHRAE 52.2,ASHRAE 52.2,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.2-P,F8.2,Preventive,Differential pressure trend,Replace at design ΔP,Continuous,ASHRAE 52.2,ASHRAE 52.2,high,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.3-C,F8.3,Corrective,Service humidifier canister,Replace canister;clean nozzles,On-detection,Carel,Carel,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.3-P,F8.3,Preventive,Humidifier inspection,Bi-annual nozzle/cylinder check,6 months,Carel,Carel,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.4-C,F8.4,Corrective,Replace heating element,Replace element + contactor,On-detection,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.5-C,F8.5,Corrective,DX compressor service,Replace compressor + recharge,On-detection,Copeland,Copeland,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
A-8.6-C,F8.6,Corrective,Calibrate sensor,Re-calibrate vs traceable standard,On-detection,IEC 60751,IEC 60751,high,2026-05-25,doc-propagation-2026-05-25,internal-research
