mechanism_id,category,name,description,source,source_ref,confidence_tier,effective_date,last_verified_by,license_class
M-THM-001,Thermal,Cellulose paper thermal aging,Insulation degrades exponentially with temperature; Arrhenius rule; furan/DGA precursors,IEEE C57.104,IEEE C57.104,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-002,Thermal,Resin cracking/delamination,Thermal cycling of cast-coil dry-type resin leading to micro-cracks,Rex Power Magnetics,Rex Power Magnetics,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-003,Thermal,Capacitor electrolyte dry-out,Electrolyte vaporises; ESR rises; life halves every +10C,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-004,Thermal,IGBT bond-wire lift-off,Thermal cycling causes wire bond fatigue,Semikron AN-19001,Semikron AN-19001,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-005,Thermal,Cylinder thermal stress,Differential expansion between head and block,Cummins manual,Cummins manual,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-006,Thermal,VRLA thermal runaway,Float-current heat exceeds dissipation capacity,IEEE 1188,IEEE 1188,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-007,Thermal,Bi-metallic strip degradation,Repeated thermal cycling biases trip curve,IEEE 493,IEEE 493,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-008,Thermal,Heating element burnout,Element oxidation/contactor failure,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-009,Thermal,Power-supply capacitor aging,DC PSU cap dry-out,EPRD-2014,EPRD-2014,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-THM-010,Thermal,Heat-sink overtemperature,Fan loss or fouling causes thermal runaway in semiconductors,Eilitetech,Eilitetech,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-001,Mechanical,Contact erosion / spring fatigue,OLTC diverter wear from arcing + spring stress,IEEE C57.143,IEEE C57.143,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-002,Mechanical,Spring/latch wear,Breaker mechanism fatigue from operations + standstill lubricant gum,NETA,NETA,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-003,Mechanical,Bolted joint creep,Long-term bolt tension loss,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-004,Mechanical,Cranking system inadequacy,Battery droop or starter solenoid fault prevents start,NFPA 110,NFPA 110,high,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-005,Mechanical,Compressor liquid floodback,Liquid refrigerant enters compressor; mechanical damage,Copeland,Copeland,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-006,Mechanical,Coupling misalignment/wear,Soft foot;thermal growth;baseplate sag,HI 9.6,HI 9.6,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-007,Mechanical,Fan blade strike / imbalance,Bird/ice/blade-root corrosion,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
M-MEC-008,Mechanical,Float-valve binding,Mineral deposits prevent free movement,manufacturer,manufacturer,thin,2026-05-25,doc-propagation-2026-05-25,internal-research
