step_id,action_id,step_order,step_description,required_tool,required_skill_level,duration_minutes,safety_notes
S-1.1-P1-1,A-1.1-P1,1,Identify transformer ID and confirm de-energization status if sampling oil-cooled,Drawings; site PTW,Tech II,10,PPE level per arc-flash study
S-1.1-P1-2,A-1.1-P1,2,Open sampling valve and flush 200 ml of old oil,Glass jar; gloves,Tech II,5,Oil at potentially high temperature
S-1.1-P1-3,A-1.1-P1,3,Draw representative sample into N2-purged syringe,DGA syringe (50ml); N2,Tech II,10,Avoid air ingress
S-1.1-P1-4,A-1.1-P1,4,Label and ship to certified lab within 24h,Sample bag; label,Tech II,5,
S-1.1-P1-5,A-1.1-P1,5,Review report against IEEE C57.104 Duval triangle,DGA report,Engineer,30,
S-1.1-P2-1,A-1.1-P2,1,Schedule outage and de-energize transformer per LOTO,LOTO kit,Tech III,30,Confirm zero-energy
S-1.1-P2-2,A-1.1-P2,2,Disconnect bushings and ground,Hot stick; ground cluster,Tech III,30,Multiple-grounds rule
S-1.1-P2-3,A-1.1-P2,3,Connect Doble M4000 test set,Doble M4000,Engineer,30,Calibrated within 12 months
S-1.1-P2-4,A-1.1-P2,4,Run PF + capacitance tests,Doble M4000,Engineer,90,
S-1.1-P2-5,A-1.1-P2,5,Compare to baseline; report >0.7% PF or >5% C-change,Doble M4000 report,Engineer,30,
S-2.1-P1-1,A-2.1-P1,1,Plan thermography route; print drawings,IR camera (Fluke Ti or FLIR T-Series),Thermographer L1,20,Energized equipment - keep flash boundary
S-2.1-P1-2,A-2.1-P1,2,Open switchgear doors only if rated for energized work; otherwise use IR windows,IR camera,Thermographer L1,5,Per NFPA 70E
S-2.1-P1-3,A-2.1-P1,3,Capture all bolted joints; record ΔT vs ambient,IR camera,Thermographer L1,60,
S-2.1-P1-4,A-2.1-P1,4,Flag hotspots ΔT >10 K as warning; >30 K as critical,IR camera; reporting software,Thermographer L1,30,
S-2.1-P1-5,A-2.1-P1,5,Issue work order for hotspots,CMMS,Tech II,15,
S-3.1-P-1,A-3.1-P,1,Plan UPS module bypass per OEM procedure,OEM manual; LOTO,Engineer,30,Confirm bypass available
S-3.1-P-2,A-3.1-P,2,De-energize module and discharge DC bus to <50 V,Discharge stick; multimeter,Tech III,30,DC-bus residual voltage hazard
