country_code,country_name,rate_usd_per_m3,scarcity_tier,scarcity_index_wri,asof,source_url,quote
US,United States,1.50,low,1.2,2025,https://www.circleofblue.org/,"Circle of Blue Water Pricing Survey 2024: US average industrial/commercial water rate approx USD 1.50/m³; WRI Aqueduct overall water risk low-medium"
DE,Germany,2.10,low,0.8,2025,https://www.eurostat.ec.europa.eu/,"Eurostat water supply prices: Germany industrial water approx EUR 1.9/m³ = USD 2.10/m³ (2023); WRI Aqueduct Germany low stress"
NL,Netherlands,1.85,low,0.9,2025,https://www.eurostat.ec.europa.eu/,"Eurostat: Netherlands industrial water tariff approx EUR 1.7/m³ = USD 1.85/m³ (2023)"
IE,Ireland,2.00,low,0.5,2025,https://www.water.ie/,"Irish Water non-domestic tariff schedule 2024: approx EUR 1.85/m³ = USD 2.00/m³"
SG,Singapore,2.70,medium,2.8,2025,https://www.pub.gov.sg/,"PUB Singapore: non-domestic waterborne fee SGD 3.69/m³ = USD 2.70/m³ (2024); Singapore is water-stressed island state"
ID,Indonesia,0.35,low,1.4,2025,https://www.bps.go.id/,"BPS Indonesia / PDAM Jakarta tariff: industrial water approx IDR 5500/m³ = USD 0.35/m³ (2024); WRI Aqueduct Indonesia overall low"
MY,Malaysia,0.18,low,1.0,2025,https://www.water.gov.my/,"Malaysia National Water Services Commission: Selangor industrial water tier approx MYR 0.80/m³ = USD 0.18/m³ (2024)"
IN,India,0.15,high,3.5,2025,https://www.fao.org/aquastat/en/,"UN FAO AQUASTAT: India average industrial water price approx USD 0.15/m³ (variable by state); WRI Aqueduct India high water stress basin"
JP,Japan,1.30,low,0.6,2025,https://www.mlit.go.jp/,"Japan Ministry of Land: industrial water supply approx JPY 190/m³ = USD 1.30/m³ (2024)"
AU,Australia,1.85,medium,2.5,2025,https://www.waterservicesassociation.com.au/,"Water Services Association of Australia: median industrial tariff approx AUD 2.90/m³ = USD 1.85/m³ (2024); some basins high scarcity"
GB,United Kingdom,2.20,low,0.7,2025,https://www.ofwat.gov.uk/,"Ofwat 2024 water charges: England & Wales non-household tariff approx GBP 1.75/m³ = USD 2.20/m³"
FR,France,1.70,low,0.9,2025,https://www.eurostat.ec.europa.eu/,"Eurostat: France industrial water approx EUR 1.55/m³ = USD 1.70/m³ (2023)"
BR,Brazil,0.40,low,1.3,2025,https://www.ana.gov.br/,"Brazil ANA (National Water Agency): industrial tariff approx BRL 2.0/m³ = USD 0.40/m³ (2024)"
ZA,South Africa,0.80,high,3.2,2025,https://www.dws.gov.za/,"South Africa DWS: industrial water tariff approx ZAR 15/m³ = USD 0.80/m³ (2024); increasing scarcity in key regions"
