fault_id,confidence_tier,recommendation_readiness,gaps
F1.1,high,advisory_possible,
F1.2,high,advisory_possible,no_procedure_steps
F1.3,high,advisory_possible,no_procedure_steps
F1.4,high,analysis_only,no_effect
F1.5,thin,analysis_only,no_effect;component_missing_mtbf
F2.1,high,advisory_possible,
F2.2,high,advisory_possible,no_procedure_steps
F2.3,high,analysis_only,no_effect
F2.4,high,analysis_only,no_effect
F2.5,thin,analysis_only,no_effect
F3.1,high,advisory_possible,
F3.2,thin,advisory_possible,no_procedure_steps
F3.3,thin,analysis_only,no_effect
F3.4,high,advisory_possible,component_missing_mtbf
F3.5,high,analysis_only,no_effect
F3.6,high,analysis_only,no_effect
F3.7,thin,advisory_possible,component_missing_mtbf;no_procedure_steps
F4.1,high,advisory_possible,component_missing_mtbf;no_safety_notes
F4.2,thin,advisory_possible,no_procedure_steps
F4.3,thin,advisory_possible,no_procedure_steps
F4.4,thin,analysis_only,no_effect
F4.5,thin,analysis_only,no_effect
F4.6,high,analysis_only,no_effect
F4.7,thin,analysis_only,no_effect
F5.1,high,advisory_possible,component_missing_mtbf
F5.2,high,advisory_possible,component_missing_mtbf;no_procedure_steps
F5.3,thin,analysis_only,no_effect;no_action;component_missing_mtbf
F5.4,high,advisory_possible,component_missing_mtbf;no_procedure_steps
F5.5,high,analysis_only,no_effect
F5.6,thin,analysis_only,no_effect;component_missing_mtbf
F6.1,high,advisory_possible,no_procedure_steps
F6.2,thin,advisory_possible,no_procedure_steps
F6.3,thin,analysis_only,no_effect
F6.4,high,analysis_only,no_effect;no_action
F6.5,thin,analysis_only,no_effect;no_action
F7.1,medium,advisory_possible,component_missing_mtbf
F7.2,thin,advisory_possible,no_procedure_steps
F7.3,thin,analysis_only,no_effect
F7.4,high,advisory_possible,component_missing_mtbf;no_procedure_steps
F7.5,thin,analysis_only,no_effect
F7.6,high,analysis_only,no_effect;no_action
F8.1,thin,advisory_possible,no_procedure_steps
F8.2,high,advisory_possible,component_missing_mtbf;no_procedure_steps
F8.3,thin,analysis_only,no_effect;component_missing_mtbf
F8.4,high,analysis_only,no_effect
F8.5,thin,analysis_only,no_effect
F8.6,thin,analysis_only,no_effect
F9.1,thin,advisory_possible,no_procedure_steps
F9.2,thin,advisory_possible,no_safety_notes
F9.3,thin,analysis_only,no_effect;component_missing_mtbf
F9.4,high,analysis_only,no_effect;component_missing_mtbf
F9.5,high,analysis_only,no_effect
F9.6,thin,analysis_only,no_effect;component_missing_mtbf
F10.1,medium,advisory_possible,component_missing_mtbf;no_procedure_steps
F10.2,thin,analysis_only,no_effect;component_missing_mtbf
F10.3,medium,analysis_only,no_effect;component_missing_mtbf
F10.4,thin,analysis_only,no_effect;component_missing_mtbf
F10.5,high,advisory_possible,component_missing_mtbf
F10.6,thin,analysis_only,no_effect;component_missing_mtbf
F11.1,high,advisory_possible,component_missing_mtbf;no_safety_notes
F11.2,thin,advisory_possible,no_procedure_steps
F11.3,medium,advisory_possible,component_missing_mtbf;no_procedure_steps
F11.4,thin,analysis_only,no_effect;component_missing_mtbf
F11.5,medium,analysis_only,no_effect;component_missing_mtbf
F12.1,thin,advisory_possible,no_safety_notes
F12.2,thin,analysis_only,no_effect;component_missing_mtbf
F12.3,thin,analysis_only,no_effect;component_missing_mtbf
F12.4,thin,analysis_only,no_effect
F12.5,thin,analysis_only,no_effect
F13.1,high,advisory_possible,no_procedure_steps
F13.2,thin,analysis_only,no_effect
F13.3,high,analysis_only,no_effect
F13.4,thin,analysis_only,no_effect;no_action;component_missing_mtbf
F13.5,high,analysis_only,no_effect
F14.1,high,advisory_possible,component_missing_mtbf;no_safety_notes
F14.2,thin,analysis_only,no_effect;no_action;component_missing_mtbf
F14.3,thin,analysis_only,no_effect;no_action;component_missing_mtbf
F14.4,thin,analysis_only,no_effect;component_missing_mtbf
F14.5,thin,analysis_only,no_effect;no_action;component_missing_mtbf
F15.1,thin,advisory_possible,no_procedure_steps
F15.2,thin,analysis_only,no_effect
F15.3,thin,analysis_only,no_effect;no_action
F15.4,thin,analysis_only,no_effect;no_action
F15.5,thin,analysis_only,no_effect
F16.1,thin,advisory_possible,no_procedure_steps
F16.2,thin,analysis_only,no_effect;no_action
F16.3,thin,analysis_only,no_effect;no_action
F16.4,thin,analysis_only,no_effect
F16.5,high,analysis_only,no_effect;no_action
F17.1,thin,advisory_possible,component_missing_mtbf
F17.2,high,analysis_only,no_effect;no_action;component_missing_mtbf
F17.3,thin,analysis_only,no_effect;no_action;component_missing_mtbf
F17.4,thin,advisory_possible,component_missing_mtbf;no_procedure_steps
F17.5,high,analysis_only,no_effect;no_action;component_missing_mtbf
F18.1,high,advisory_possible,component_missing_mtbf;no_safety_notes
F18.2,high,analysis_only,no_effect;no_action;component_missing_mtbf
F18.3,thin,analysis_only,no_action;component_missing_mtbf
F18.4,high,analysis_only,no_effect;no_action;component_missing_mtbf
F18.5,high,analysis_only,no_effect;component_missing_mtbf
F19.1,medium,advisory_possible,component_missing_mtbf
F19.2,thin,advisory_possible,component_missing_mtbf;no_procedure_steps
F19.3,high,analysis_only,no_effect;component_missing_mtbf
F19.4,thin,analysis_only,no_effect;no_action;component_missing_mtbf
F19.5,high,analysis_only,no_effect;no_action
F20.1,thin,advisory_possible,component_missing_mtbf;no_procedure_steps
F20.2,thin,analysis_only,no_effect;no_action;component_missing_mtbf
F20.3,high,analysis_only,no_effect;component_missing_mtbf
F20.4,thin,draft_wo_possible,component_missing_mtbf
F20.5,thin,analysis_only,no_effect;no_action;component_missing_mtbf
