timestamp,operating_state,flow_suction_lpm,dp_strainer_kpa,motor_amps_a,motor_vibration_x_mms,motor_temp_stator_degc,tag_quality
2026-05-26T08:00:00Z,steady,318.4,42.1,18.6,2.10,58.4,good
2026-05-26T08:00:30Z,steady,318.1,42.3,18.6,2.12,58.5,good
2026-05-26T08:01:00Z,steady,317.8,42.4,18.7,2.13,58.5,good
2026-05-26T08:01:30Z,steady,317.5,42.6,18.7,2.14,58.6,good
2026-05-26T08:02:00Z,steady,317.0,42.9,18.8,2.15,58.6,good
2026-05-26T08:02:30Z,steady,316.6,43.2,18.8,2.16,58.7,good
2026-05-26T08:03:00Z,steady,316.1,43.6,18.9,2.18,58.7,good
2026-05-26T08:03:30Z,steady,315.4,44.1,18.9,2.20,58.8,good
2026-05-26T08:04:00Z,steady,314.7,44.7,19.0,2.22,58.9,good
2026-05-26T08:04:30Z,steady,313.9,45.4,19.0,2.24,59.0,good
2026-05-26T08:05:00Z,steady,313.0,46.2,19.1,2.27,59.1,good
2026-05-26T08:05:30Z,steady,311.9,47.1,19.2,2.30,59.2,good
2026-05-26T08:06:00Z,steady,310.7,48.1,19.3,2.33,59.4,good
2026-05-26T08:06:30Z,steady,309.4,49.2,19.4,2.37,59.5,good
2026-05-26T08:07:00Z,steady,308.0,50.5,19.5,2.41,59.7,good
2026-05-26T08:07:30Z,steady,306.4,51.9,19.6,2.46,59.9,good
2026-05-26T08:08:00Z,steady,304.7,53.4,19.7,2.51,60.1,good
2026-05-26T08:08:30Z,steady,302.8,55.0,19.8,2.57,60.3,good
2026-05-26T08:09:00Z,steady,300.8,56.8,20.0,2.63,60.5,good
2026-05-26T08:09:30Z,steady,298.7,58.7,20.1,2.70,60.8,good
2026-05-26T08:10:00Z,steady,296.4,60.7,20.3,2.78,61.1,good
2026-05-26T08:10:30Z,steady,294.0,62.9,20.4,2.86,61.4,good
2026-05-26T08:11:00Z,steady,291.4,65.2,20.6,2.95,61.8,good
2026-05-26T08:11:30Z,steady,288.7,67.6,20.8,3.05,62.2,good
2026-05-26T08:12:00Z,steady,285.9,70.2,21.0,3.16,62.6,good
2026-05-26T08:12:30Z,steady,282.9,72.9,21.2,3.28,63.1,good
2026-05-26T08:13:00Z,steady,279.8,75.8,21.4,3.41,63.7,good
2026-05-26T08:13:30Z,steady,276.5,78.8,21.6,3.55,64.3,good
2026-05-26T08:14:00Z,steady,273.1,82.0,21.9,3.71,65.0,good
2026-05-26T08:14:30Z,steady,269.6,85.3,22.1,3.88,65.7,good
2026-05-26T08:15:00Z,steady,265.9,88.8,22.4,4.07,66.5,good
2026-05-26T08:15:30Z,steady,262.1,92.4,22.7,4.27,67.4,good
2026-05-26T08:16:00Z,steady,258.1,96.2,23.0,4.49,68.3,good
2026-05-26T08:16:30Z,steady,253.9,100.1,23.4,4.73,69.3,good
2026-05-26T08:17:00Z,steady,249.6,104.2,23.7,4.99,70.4,good
2026-05-26T08:17:30Z,steady,245.1,108.4,24.1,5.27,71.6,good
2026-05-26T08:18:00Z,steady,240.4,112.7,24.5,5.57,72.9,good
2026-05-26T08:18:30Z,steady,235.6,117.2,24.9,5.89,74.3,good
2026-05-26T08:19:00Z,steady,230.6,121.8,25.4,6.24,75.7,good
2026-05-26T08:19:30Z,steady,225.4,126.5,25.9,6.61,77.3,good
2026-05-26T08:20:00Z,steady,220.1,131.3,26.4,7.00,78.9,good
