refrigerant,label,gwp100,ashrae_safety,cop_index,price_usd_per_kg,pfas_flag,charge_kg_per_kwth,leak_pct_yr,capex_mult,apps,source_url,quote
R410A,R-410A,2088,A1,0.95,4.5,false,0.15,0.04,1.00,crac/chiller,https://www.epa.gov/snap/substitutes-air-conditioning-and-heat-pumps,"R-410A GWP 2088 (IPCC AR4); US AIM Act restricts new equipment GWP>700 from 2025; EPA SNAP program substitutes list"
R134a,R-134a,1430,A1,1.00,3.8,false,0.20,0.03,1.00,chiller,https://www.epa.gov/snap/substitutes-air-conditioning-and-heat-pumps,"R-134a GWP 1430 (IPCC AR4); Kigali Amendment HFC phase-down; baseline centrifugal-chiller refrigerant; EPA SNAP"
R513A,R-513A,631,A1,0.97,7.2,false,0.20,0.03,1.00,chiller,https://www.chemours.com/en/brands/opteon/,"R-513A (Opteon XP10): GWP 631; drop-in alternative for R-134a in centrifugal chillers; Chemours Opteon product data 2024"
R32,R-32,675,A2L,1.02,3.2,false,0.12,0.03,1.03,crac,https://www.honeywell.com/us/en/press/2020/06/honeywell-refrigerant-r-32.html,"R-32 GWP 675; mildly flammable A2L class; widely adopted in split/CRAC; Honeywell refrigerant product information"
R454B,R-454B (Puron Advance),466,A2L,0.98,6.5,false,0.13,0.03,1.03,crac/chiller,https://www.chemours.com/en/brands/opteon/,"R-454B (Opteon XL41): GWP 466; A2L; primary R-410A replacement per EPA SNAP listing 2020; Chemours technical data"
R1234ze,R-1234ze(E),7,A2L,0.96,18.0,false,0.20,0.02,1.03,chiller,https://www.honeywell.com/us/en/press/2021/solstice-ze.html,"R-1234ze(E) GWP <1 (IPCC AR5); HFO ultra-low GWP; Honeywell Solstice ze; EU F-Gas regulation compliant for new chillers"
R1233zd,R-1233zd(E),1,A1,1.02,22.0,false,0.22,0.015,1.02,chiller,https://www.honeywell.com/us/en/press/solstice-zd.html,"R-1233zd(E) GWP 1; non-flammable A1; Honeywell Solstice zd; low-pressure centrifugal chiller refrigerant; Honeywell technical bulletin 2024"
R717,R-717 (ammonia),0,B2L,1.04,1.2,false,0.10,0.02,1.07,chiller,https://iiar.org/iiar-refrigerants/,"R-717 (ammonia): GWP 0; ASHRAE 34 class B2L toxic; IIAR standard ANSI/IIAR 2 governs industrial refrigerant system design; IIAR refrigerant safety page"
R290,R-290 (propane),3,A3,1.00,1.0,false,0.05,0.02,1.06,chiller,https://www.ashrae.org/technical-resources/bookstore/ashrae-standard-34,"R-290 (propane): GWP 3; A3 highly flammable; ASHRAE 34 charge limits; suitable for small outdoor packaged units; ASHRAE Standard 34-2022"
R744,R-744 (CO2),1,A1,0.80,0.8,false,0.08,0.02,1.05,chiller,https://iir.org/publications/informatory-note/r-744/,"R-744 (CO2): GWP 1; non-toxic A1; transcritical cycle used in heat-recovery and ultra-low-temp applications; IIR International Institute of Refrigeration informatory note"
Novec7000,Novec 7000 (HFE-7000),530,A1,0.70,95.0,true,0.30,0.01,1.10,immersion,https://multimedia.3m.com/mws/media/121575O/3m-novec-7000-engineered-fluid-tds.pdf,"3M Novec 7000 Engineered Fluid: GWP 530; boiling point 34 °C; heat of vaporization 142 kJ/kg; 3M Technical Data Sheet; PFAS classification under EU PFAS restriction proposal"
